system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,class,latitude,longitude,.geo
1_2000_0,0.117652886,0.36032417,0.10863755,0.22951873,0.09796637,0.4089018,-1386.0,8028.0,1225.0,19135.0,-2056.0,11991.0,-1917.0,8998.0,0.12389685,0.36656815,0.12887855,0.24975973,0.09630162,0.40723705,-650.0,8764.0,2896.0,20806.0,-1557.0,12490.0,-1271.0,9644.0,0.12039737,0.36306867,0.1051834,0.22606458,0.09647063,0.40740606,-1188.5,8225.5,1625.5,19535.5,-1715.5,12331.5,-1786.5,9128.5,0.12910149,0.37177277,0.11140382,0.23228501,0.10740674,0.41834217,-1335.5,8078.5,1789.0,19699.0,-1774.5,12272.5,-1893.5,9021.5,1,-1.205584027052604,110.9914796766801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2001_0,0.31924418,0.38270044,0.23757431,0.27344725,0.33270726,0.40061486,-1275.5,8188.5,8291.5,19134.5,825.0,10917.0,-1006.5,8542.5,0.31188294,0.37533918,0.23380874,0.2696817,0.3118746,0.3797822,-920.5,8543.5,8163.5,19006.5,840.5,10932.5,-916.5,8632.5,0.3380005,0.40145674,0.25448745,0.2903604,0.3492328,0.4171404,-1313.0,8151.0,8975.0,19818.0,807.0,10899.0,-1085.0,8464.0,0.025939358,0.08939562,-0.04467544,-0.008802498,0.04693413,0.11484175,303.5,9767.5,1459.0,12302.0,2428.5,12520.5,734.0,10283.0,1,2.8767199501001497,117.6746758959441,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2002_0,0.13492118,0.31150925,0.15766467,0.17165613,0.1068037,0.401501,-180.0,9769.0,4613.0,22876.0,-1586.0,16173.0,-772.0,12009.0,0.013599958,0.19018802,0.016060298,0.03005175,-0.017909162,0.27678812,-591.0,9358.0,-1742.0,16521.0,-2202.0,15557.0,-1540.0,11241.0,0.10838121,0.28496927,0.13357778,0.14756922,0.052946374,0.34764367,-1242.0,8707.0,-276.0,17987.0,-4398.0,13361.0,-2772.0,10009.0,0.092317775,0.26890585,0.09503558,0.109027036,0.052938465,0.34763575,-933.0,9016.0,362.0,18625.0,-2796.0,14963.0,-2050.0,10731.0,1,-3.180979336831432,114.85414556686564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2003_0,0.23628013,0.38456395,0.21880758,0.24816902,0.21975541,0.43409228,-3896.0,8171.0,2055.5,20706.5,-5114.5,12472.5,-4630.0,9204.0,0.24037881,0.38866264,0.23259945,0.2619609,0.22829168,0.44262853,-3899.0,8168.0,2490.0,21141.0,-5223.0,12364.0,-4527.0,9307.0,0.22099012,0.36927393,0.21254222,0.24190368,0.2014171,0.41575396,-4012.0,8055.0,868.0,19519.0,-5672.0,11915.0,-4843.0,8991.0,0.20159203,0.34987584,0.20522176,0.2345832,0.20155269,0.41588956,-4049.5,8017.5,783.5,19434.5,-5538.0,12049.0,-4474.0,9360.0,1,-3.666878074011681,116.19380315007308,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2004_0,0.04411299,0.35597566,0.026505353,0.2135637,0.038721822,0.42924687,-459.0,8450.0,834.0,21160.0,-207.5,13712.5,-612.0,10050.0,0.06716554,0.3790282,0.047012374,0.23407072,0.058237612,0.44876266,-572.5,8336.5,1584.0,21910.0,-321.5,13598.5,-796.0,9866.0,0.03036571,0.34222835,0.018364154,0.20542249,0.026582887,0.41710794,-323.0,8586.0,548.0,20874.0,-160.5,13759.5,-432.5,10229.5,0.032031126,0.3438938,0.007531357,0.1945897,0.028104607,0.41862968,-530.0,8379.0,120.0,20446.0,-135.0,13785.0,-680.0,9982.0,1,-2.901513451941849,118.97310080761046,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_0,0.04191567,0.39080533,0.043891963,0.25127277,0.0345585,0.43238616,-140.0,8619.5,1418.0,21751.5,-333.0,13015.5,-287.5,9527.5,0.04232061,0.3912103,0.052111886,0.2594927,0.028768482,0.42659613,156.5,8916.0,1849.0,22182.5,-306.5,13042.0,-108.0,9707.0,0.047680233,0.3965699,0.03626984,0.24365063,0.041398227,0.43922588,-240.5,8519.0,1530.5,21864.0,-51.5,13297.0,-368.0,9447.0,0.029645985,0.37853566,0.03171503,0.23909582,0.027887976,0.42571563,-529.0,8230.5,99.5,20433.0,-801.0,12547.5,-603.5,9211.5,1,1.4079744605647322,110.08247444067956,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_0,0.23080595,0.36592624,0.20248835,0.22835185,0.17765954,0.42160606,-1383.0,8031.0,4250.0,19739.0,-2308.0,12400.0,-2638.5,9163.0,0.21710163,0.3522219,0.1916126,0.2174761,0.16119398,0.4051405,-1221.0,8193.0,3864.0,19353.0,-2269.0,12439.0,-2530.5,9271.0,0.22262089,0.35774118,0.20888545,0.23474893,0.16320099,0.4071475,-1219.0,8195.0,3962.0,19451.0,-2653.0,12055.0,-2600.5,9201.0,0.22508568,0.36020595,0.21265683,0.23852032,0.1631015,0.40704802,-1287.0,8127.0,3796.0,19285.0,-2851.0,11857.0,-2730.5,9071.0,1,2.6929246429692957,116.86430567813989,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_0,0.09390027,0.32213497,0.11582459,0.1589127,0.12764773,0.3811172,-2759.0,8941.0,308.0,19953.0,-3541.0,14481.0,-2114.0,10230.0,0.11975488,0.3479896,0.1331515,0.17623962,0.15722682,0.41069627,-2940.0,8760.0,1325.0,20970.0,-3336.0,14686.0,-2201.0,10143.0,0.15029898,0.3785337,0.16348301,0.20657112,0.19142295,0.4448924,-3129.0,8571.0,2664.5,22309.5,-3351.5,14670.5,-2286.5,10057.5,0.09056254,0.31879723,0.109103024,0.15219115,0.15732698,0.41079643,-3503.0,8197.0,-18.0,19627.0,-3580.0,14442.0,-2206.0,10138.0,1,0.9773221133578335,117.37661488467326,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2008_0,0.10003999,0.37472072,0.10503667,0.22640166,0.062418763,0.42885578,-358.5,8608.0,2196.5,21535.0,-1568.5,13584.0,-1209.0,9795.0,0.119089045,0.39376977,0.11463371,0.2359987,0.08375764,0.45019466,-281.5,8685.0,3569.5,22908.0,-992.5,14160.0,-1040.0,9964.0,0.10482839,0.37950912,0.10334034,0.22470534,0.06652049,0.4329575,-64.5,8902.0,3157.5,22496.0,-911.5,14241.0,-885.5,10118.5,0.1212723,0.39595303,0.11416648,0.23553148,0.09266605,0.45910308,-680.5,8286.0,3013.5,22352.0,-1322.5,13830.0,-1332.0,9672.0,1,1.0080444960747212,109.57043472873143,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2009_0,0.07290612,0.3885677,0.066944204,0.24198094,0.07726017,0.4447118,-177.0,7962.0,3120.0,20715.0,290.0,12643.0,-30.5,9121.5,0.093067154,0.40872872,0.09287733,0.26791406,0.08543982,0.45289144,-50.0,8089.0,3886.0,21481.0,50.0,12403.0,-136.0,9016.0,0.07447081,0.39013237,0.0809629,0.25599962,0.07022328,0.4376749,-201.5,7937.5,2698.5,20293.5,-332.0,12021.0,-249.0,8903.0,0.03606984,0.35173142,0.05292699,0.22796372,0.034809504,0.40226114,56.0,8195.0,1630.0,19225.0,-266.0,12087.0,68.0,9220.0,1,-0.31382644450715486,114.93634141536258,"{""type"":""MultiPoint"",""coordinates"":[]}"
